fiscal_year,invoice_date,invoice_number,invoice_amount,payee,payment_date,payment_number,agency,expenditure_type,expenditure_category,spend_category,cost_center,project,program,grant_,fund,financing_source,region,extended_amount,ObjectId
2022,11/30/2021,2385858,112.5,HIGHWAY SAFETY SERVICES,12/27/2021,1184992,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,112.5,32051
2022,11/30/2021,2384895,75,HIGHWAY SAFETY SERVICES,12/27/2021,1184992,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,75,32059
2022,12/1/2021,2384909,8424,MICHAEL E FREVILLE,12/27/2021,1185004,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,8424,32067
2022,9/13/2021,2349195,56.22,US BANK EQUIPMENT FINANCE,12/29/2021,1185282,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,56.22,32326
2022,9/13/2021,2351079,160.22,US BANK EQUIPMENT FINANCE,12/29/2021,1185282,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,160.22,32330
2022,7/14/2021,2353308,66.62,US BANK EQUIPMENT FINANCE,12/29/2021,1185282,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,66.62,32335
2022,6/11/2021,2313416,104,US BANK EQUIPMENT FINANCE,12/29/2021,1185282,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,104,32340
2022,11/30/2021,2384778,1200,DATA LINK COMMUNICATIONS OF INDIANA INC,12/27/2021,1184982,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Payments to Contractors,,,,,General Fund,,,1200,32348
2022,12/2/2021,2386097,5800,SHAWN M HERRON,12/27/2021,1185010,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,5800,32353
2022,12/23/2021,2391153,249.27,LOUISVILLE GAS & ELECTRIC COMPANY,12/27/2021,1185116,Louisville Metro Police Department,Metro Government Operations,Utility Services,Gas/Electric Utility Services,,,,,General Fund,,,249.27,33050
2022,11/28/2021,2384697,625,CHERYL D THOMPSON,12/23/2021,1184760,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,625,33058
2022,10/6/2021,2353630,1575,AT&T SERVICES INC,12/23/2021,1184750,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Telephone Services,,,,,General Fund,,,1575,33059
2022,10/6/2021,2353633,1355,AT&T SERVICES INC,12/23/2021,1184750,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Telephone Services,,,,,General Fund,,,1355,33060
2022,12/1/2021,2389365,807.43,THOMSON REUTERS SCIENTIFIC INC,12/22/2021,1184574,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Dues,,,,,General Fund,,,807.43,33538
2022,12/7/2021,2389354,1297.22,LOUISVILLE GAS & ELECTRIC COMPANY,12/22/2021,1184645,Louisville Metro Police Department,Metro Government Operations,Utility Services,Gas/Electric Utility Services,,,,,General Fund,,,1297.22,33539
2022,12/8/2021,2389357,3967.1,LOUISVILLE GAS & ELECTRIC COMPANY,12/22/2021,1184645,Louisville Metro Police Department,Metro Government Operations,Utility Services,Gas/Electric Utility Services,,,,,General Fund,,,3967.1,33540
2022,11/29/2021,2384701,2045.11,BEST STAMP & SEAL CO INC,12/20/2021,1184363,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,2045.11,34405
2022,11/29/2021,2384702,35.62,BEST STAMP & SEAL CO INC,12/20/2021,1184363,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,35.62,34411
2022,11/18/2021,2383086,27.36,SPECIFIC WASTE INDUSTRIES LLC,12/20/2021,1184379,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Hazardous Materials Response Supplies                          ,,,,,General Fund,,,27.36,34460
2022,11/30/2021,2385046,27.36,SPECIFIC WASTE INDUSTRIES LLC,12/20/2021,1184379,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Hazardous Materials Response Supplies                          ,,,,,General Fund,,,27.36,34462
2022,12/16/2021,2388926,1700,T-MOBILE USA INC,12/20/2021,1184339,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Telephone Services,,,,,General Fund,,,1700,34467
2022,12/16/2021,2388927,900,T-MOBILE USA INC,12/20/2021,1184339,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Telephone Services,,,,,General Fund,,,900,34473
2022,12/16/2021,2388928,1190,T-MOBILE USA INC,12/20/2021,1184339,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Telephone Services,,,,,General Fund,,,1190,34479
2022,12/16/2021,2388933,870,T-MOBILE USA INC,12/20/2021,1184339,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Telephone Services,,,,,General Fund,,,870,34530
2022,12/16/2021,2388940,900,T-MOBILE USA INC,12/20/2021,1184339,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Telephone Services,,,,,General Fund,,,900,34536
2022,11/23/2021,2384700,1774.2,BOUND TREE MEDICAL LLC,12/20/2021,1184277,Louisville Metro Police Department,Metro Government Operations,Supplies,First Aid Supplies,,,,,General Fund,,,1774.2,34541
2022,12/3/2021,2385716,2453,DERBY CITY APPRAISALS,12/20/2021,1184387,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,2453,34592
2022,12/15/2021,2389350,82.08,SPECIFIC WASTE INDUSTRIES LLC,12/22/2021,1184630,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Hazardous Materials Response Supplies                          ,,,,,General Fund,,,82.08,34787
2022,12/1/2021,2389366,863.82,THOMSON REUTERS SCIENTIFIC INC,12/22/2021,1184574,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Contractual Non Professional Service Agreements                         ,,,,,General Fund,,,863.82,34788
2022,12/21/2021,2390362,6300,SAMANTHA TEMPLE,12/22/2021,1184563,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Rent Land and Buildings External                          ,,,,,General Fund,,,6300,34789
2022,12/2/2021,2385477,1823.9,BEST STAMP & SEAL CO INC,12/16/2021,1183753,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,1823.9,35069
2022,11/22/2021,2383070,250,PSYTAC PLLC,12/15/2021,1183409,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,250,35271
2022,3/15/2022,2456852,227.16,FISHER SCIENTIFIC COMPANY LLC,5/16/2022,1210298,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,5.95,35627
2022,3/15/2022,2456852,227.16,FISHER SCIENTIFIC COMPANY LLC,5/16/2022,1210298,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,0.25,35680
2022,3/15/2022,2456852,227.16,FISHER SCIENTIFIC COMPANY LLC,5/16/2022,1210298,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,220.96,35687
2022,3/10/2022,2455622,44.88,LEONARD BRUSH & CHEMICAL CO INC,5/16/2022,1210323,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,44.88,35698
2022,2/28/2022,2455314,5775,LEXISNEXIS RISK DATA MANAGEMENT INC,5/11/2022,1209699,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,5775,36258
2022,4/12/2022,2452543,1082.1,VERIZON WIRELESS,5/11/2022,1209753,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Air Cards,,,,,General Fund,,,1082.1,36259
2022,12/14/2021,2389351,21200,CI TECHNOLOGIES INC,5/11/2022,1209574,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Computer Software Rental,,,,,General Fund,,,21200,36260
2022,4/20/2022,2452848,11610,DELL MARKETING LP,5/11/2022,1209669,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Computer Hardware,,,,,General Fund,,,11610,36261
2022,4/20/2022,2452749,2020,PRECISION PRODUCTS LLC,5/11/2022,1209588,Louisville Metro Police Department,Metro Government Operations,Equipment/Capital Outlay,Computer Software,,,,,General Fund,,,2020,36262
2022,5/2/2022,2455635,5833.33,ASSET AND SECURITY SERVICES LLC,5/11/2022,1209639,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,Misc Federal Agreements,,,5833.33,36595
2022,5/2/2022,2455637,3350,ASSET AND SECURITY SERVICES LLC,5/11/2022,1209639,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,Misc Federal Agreements,,,3350,36600
2022,5/2/2022,2455632,6000,ASSET AND SECURITY SERVICES LLC,5/11/2022,1209639,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,6000,36609
2022,4/13/2022,2452997,450,KYLE OWENS,5/9/2022,1209445,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,450,37519
2022,4/14/2022,2447489,190.45,BEST STAMP & SEAL CO INC,5/5/2022,1207818,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,190.45,38804
2022,4/25/2022,2452464,1634.13,AMAZON COM,5/4/2022,1207562,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,0.95,38854
2022,3/30/2022,2437717,47.48,OFFICE DEPOT INC,5/4/2022,1207663,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,45.79,38862
2022,3/30/2022,2437717,47.48,OFFICE DEPOT INC,5/4/2022,1207663,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,1.69,38873
2022,4/13/2022,2446800,250,PSYTAC PLLC,5/4/2022,1207669,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,250,38888
2022,3/31/2022,2447496,3815.21,COVANTA HOLDING CORPORATION,5/4/2022,1207592,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Hazardous Materials Response Supplies                          ,,,,,General Fund,,,3815.21,38894
2022,8/17/2021,2437718,170.4,AMERICAN SCALE CORPORATION,5/4/2022,1207564,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,170.4,38946
2022,4/13/2022,2447553,25,ROCKY MOUNTAIN LOGISTICS INC,5/4/2022,1207680,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,25,38953
2022,4/5/2022,2448933,50,ROCKY MOUNTAIN LOGISTICS INC,5/4/2022,1207680,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,50,38959
2022,4/1/2022,2452927,1889,SCOT MAILING AND SHIPPING SYSTEMS INC,5/4/2022,1207684,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,1889,38964
2022,3/31/2022,2446446,1728.75,VOIANCE LANGUAGE SERVICES LLC,5/4/2022,1207716,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Language Services,,,,,General Fund,,,1728.75,38973
2022,4/8/2022,2446803,117573.04,LEXISNEXIS RISK DATA MANAGEMENT INC,5/4/2022,1207646,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Computer Software Rental,,,,,General Fund,,,117573.04,38979
2022,4/29/2022,2452900,85,VERIZON WIRELESS,5/4/2022,1207712,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Telephone Services,,,,,General Fund,,,85,38984
2022,4/14/2022,2447525,241.21,UNIFIRST CORPORATION,5/4/2022,1207706,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,203.2,38993
2022,4/14/2022,2447525,241.21,UNIFIRST CORPORATION,5/4/2022,1207706,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,38.01,38999
2022,4/2/2022,2447542,4010,MONICA BURNS,5/4/2022,1207655,Louisville Metro Police Department,Metro Government Operations,Supplies,Public & Community Relations Supplies                          ,,,,,General Fund,,,4010,39041
2022,4/4/2022,2447551,5675,SHAWN M HERRON,5/4/2022,1207688,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,1725,39042
2022,4/4/2022,2447551,5675,SHAWN M HERRON,5/4/2022,1207688,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,3950,39043
2022,4/14/2022,2452844,752.74,PROSPERITY PUBLICATIONS & PROMOTIONS INC,5/4/2022,1207668,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,752.74,39044
2022,4/25/2022,2452464,1634.13,AMAZON COM,5/4/2022,1207562,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,1633.18,39045
2022,7/23/2021,2406712,202.68,GENUINE PARTS COMPANY,5/5/2022,1207880,Louisville Metro Police Department,Metro Government Operations,Supplies,Custodial Supplies,,,,,General Fund,,,202.68,39113
2022,1/13/2022,2452792,224.04,GENUINE PARTS COMPANY,5/5/2022,1207880,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,88.08,39117
2022,1/13/2022,2452792,224.04,GENUINE PARTS COMPANY,5/5/2022,1207880,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,75.24,39120
2022,1/13/2022,2452792,224.04,GENUINE PARTS COMPANY,5/5/2022,1207880,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,60.72,39122
2022,1/24/2022,2452794,73.68,GENUINE PARTS COMPANY,5/5/2022,1207880,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,71.76,39128
2022,1/24/2022,2452794,73.68,GENUINE PARTS COMPANY,5/5/2022,1207880,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,1.92,39132
2022,3/17/2022,2437202,1762,BOUND TREE MEDICAL LLC,5/5/2022,1207868,Louisville Metro Police Department,Metro Government Operations,Supplies,Drugs/Medicine Supplies,,,,,State Fund,,,1762,39163
2022,3/31/2022,2437721,1673.9,BOUND TREE MEDICAL LLC,5/5/2022,1207868,Louisville Metro Police Department,Metro Government Operations,Supplies,Drugs/Medicine Supplies,,,,,State Fund,,,1673.9,39167
2022,4/1/2022,2437722,396.45,BOUND TREE MEDICAL LLC,5/5/2022,1207868,Louisville Metro Police Department,Metro Government Operations,Supplies,Drugs/Medicine Supplies,,,,,State Fund,,,396.45,39171
2022,4/8/2022,2447483,13392.54,FAMILY & CHILDRENS PLACE INC,5/5/2022,1207877,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Rent Land and Buildings External                          ,,,,,General Fund,,,13392.54,39175
2022,1/11/2022,2437706,13447.25,FAMILY & CHILDRENS PLACE INC,5/5/2022,1207877,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Rent Land and Buildings External                          ,,,,,General Fund,,,13447.25,39178
2022,4/12/2022,2452283,237.6,SPECIFIC WASTE INDUSTRIES LLC,5/5/2022,1207828,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Hazardous Materials Response Supplies                          ,,,,,General Fund,,,237.6,39182
2022,3/31/2022,2438822,6666.68,UNIVERSITY MEDICAL CENTER INC,5/5/2022,1207916,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,6666.68,39186
2022,5/2/2022,2453301,38.74,DILLON S THOMPSON,5/4/2022,1207601,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,38.74,39596
2022,11/1/2021,2373472,5000,SHAWN M HERRON,12/13/2021,1183108,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,5000,40071
2022,11/18/2021,2383063,50,HIGHWAY SAFETY SERVICES,12/13/2021,1183033,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,50,40072
2022,10/21/2021,2383847,1520,HIGHWAY SAFETY SERVICES,12/13/2021,1183033,Louisville Metro Police Department,Metro Government Operations,Supplies,Safety Barricades,,,,,General Fund,,,1520,40073
2022,11/12/2021,2385208,1081.08,VERIZON WIRELESS,12/13/2021,1183129,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Air Cards,,,,,General Fund,,,1081.08,40074
2022,8/18/2021,2371837,2420,KIESLER POLICE SUPPLY INC,12/13/2021,1183149,Louisville Metro Police Department,Metro Government Operations,Supplies,Ammunition,,,,,General Fund,,,2420,40075
2022,10/13/2021,2368045,77592,KIESLER POLICE SUPPLY INC,12/13/2021,1183149,Louisville Metro Police Department,Metro Government Operations,Supplies,Ammunition,,,,,General Fund,,,77592,40076
2022,1/22/2021,2353941,9200,KIESLER POLICE SUPPLY INC,12/13/2021,1183149,Louisville Metro Police Department,Metro Government Operations,Supplies,Ammunition,,,,,General Fund,,,9200,40077
2022,11/17/2021,2383092,13362.04,BOUND TREE MEDICAL LLC,12/13/2021,1182994,Louisville Metro Police Department,Metro Government Operations,Supplies,First Aid Supplies,,,,,General Fund,,,13362.04,40078
2022,10/25/2021,2371841,39,KIESLER POLICE SUPPLY INC,12/13/2021,1183149,Louisville Metro Police Department,Metro Government Operations,Supplies,Weapons,,,,,General Fund,,,39,40085
2022,11/12/2021,2383671,2010,KIESLER POLICE SUPPLY INC,12/13/2021,1183149,Louisville Metro Police Department,Metro Government Operations,Supplies,Weapons,,,,,General Fund,,,2010,40086
2022,10/19/2021,2371839,1577,KIESLER POLICE SUPPLY INC,12/13/2021,1183149,Louisville Metro Police Department,Metro Government Operations,Supplies,Weapons,,,,,General Fund,,,1577,40087
2022,12/13/2021,2387868,170,DARRYL G VIERS,12/15/2021,1183343,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Insurance Other                             ,,,,,General Fund,,,170,40212
2022,11/16/2021,2383060,152.92,CDW LLC,12/13/2021,1182999,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Maintenance/Repair Services                          ,,,,,General Fund,,,152.92,40428
2022,11/15/2021,2383102,1070.79,NET TRANSCRIPTS INC,12/13/2021,1183080,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,1070.79,40435
2022,11/15/2021,2380773,5520.17,THOROUGHBRED AVIATION MAINTENANCE,12/13/2021,1183119,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Helicopter Maintenance/Repair Services                          ,,,,,General Fund,,,5520.17,40436
2022,12/1/2021,2385100,3937.5,AMY S HESS,12/9/2021,1182219,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,3937.5,40689
2022,10/19/2021,2383077,378.09,LEXISNEXIS RISK DATA MANAGEMENT INC,12/8/2021,1181991,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Dues,,,,,General Fund,,,378.09,41527
2022,10/22/2021,2375841,229.1,LEXISNEXIS RISK DATA MANAGEMENT INC,12/8/2021,1181991,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Dues,,,,,General Fund,,,229.1,41718
2022,11/4/2021,2386073,28132.1,AT&T SERVICES INC,12/8/2021,1181923,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Air Cards,,,,,General Fund,,,24120.48,41722
2022,11/25/2021,2385564,100.24,REPUBLIC SERVICES OF KENTUCKY LLC,12/8/2021,1182019,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,29.74,41727
2022,11/25/2021,2385564,100.24,REPUBLIC SERVICES OF KENTUCKY LLC,12/8/2021,1182019,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,70.5,41732
2022,10/15/2021,2385507,19848.36,ASCENT AVIATION GROUP INC,12/8/2021,1181920,Louisville Metro Police Department,Metro Government Operations,Supplies,Aviation Fuel,,,,,General Fund,,,19848.36,42011
2022,10/19/2021,2383669,3027.85,DJ LEASING LLC,12/6/2021,1181734,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Automotive Repair Services                           ,,,,,General Fund,,,3027.85,42288
2022,11/8/2021,2383673,708.25,JA BENNETT INC,12/6/2021,1181748,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Pressurized Tank Services,,,,,General Fund,,,708.25,42291
2022,11/11/2021,2383064,234.59,UNIFIRST CORPORATION,12/6/2021,1181783,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,234.59,42296
2022,10/21/2021,2375577,258.77,UNIFIRST CORPORATION,12/6/2021,1181783,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,258.77,42301
2022,11/4/2021,2375578,246.33,UNIFIRST CORPORATION,12/6/2021,1181783,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,246.33,42307
2022,10/28/2021,2374994,258.77,UNIFIRST CORPORATION,12/6/2021,1181783,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Uniform Services,,,,,General Fund,,,258.77,42311
2022,11/24/2021,2383670,74.19,AMAZON COM,12/6/2021,1181715,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,74.19,42316
2022,11/10/2021,2375845,28,BEST STAMP & SEAL CO INC,12/6/2021,1181803,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,28,42405
2022,11/9/2021,2383098,420,KYLE OWENS,12/6/2021,1181755,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,420,42460
2022,12/2/2021,2385222,38.89,LOUISVILLE GAS & ELECTRIC COMPANY,12/3/2021,1181669,Louisville Metro Police Department,Metro Government Operations,Utility Services,Gas/Electric Utility Services,,,,,General Fund,,,38.89,42497
2022,12/2/2021,2385223,71.44,LOUISVILLE GAS & ELECTRIC COMPANY,12/3/2021,1181669,Louisville Metro Police Department,Metro Government Operations,Utility Services,Gas/Electric Utility Services,,,,,General Fund,,,71.44,42498
2022,11/30/2021,2384852,5833.33,ASSET AND SECURITY SERVICES LLC,12/6/2021,1181718,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,Misc Federal Agreements,,,2500.01,42568
2022,11/30/2021,2384852,5833.33,ASSET AND SECURITY SERVICES LLC,12/6/2021,1181718,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,Misc Federal Agreements,,,3333.32,42569
2022,11/30/2021,2384999,2708.33,ASSET AND SECURITY SERVICES LLC,12/6/2021,1181718,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,Misc Federal Agreements,,,2708.33,42570
2022,11/30/2021,2385476,328.32,SPECIFIC WASTE INDUSTRIES LLC,12/6/2021,1181813,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Hazardous Materials Response Supplies                          ,,,,,General Fund,,,328.32,42571
2022,11/24/2021,2385493,128.01,FEDEX,12/6/2021,1181735,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Mail & Shipping                             ,,,,,General Fund,,,128.01,42572
2022,11/30/2021,2384997,6000,ASSET AND SECURITY SERVICES LLC,12/6/2021,1181718,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,6000,42573
2022,11/11/2021,2375842,35,FARLEY PRINTING COMPANY INC,12/6/2021,1181805,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,35,42574
2022,11/11/2021,2375843,35,FARLEY PRINTING COMPANY INC,12/6/2021,1181805,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,35,42575
2022,4/23/2021,2375586,718.17,NET TRANSCRIPTS INC,12/6/2021,1181765,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,718.17,42576
2022,11/3/2021,2373061,74.82,AMAZON COM,12/6/2021,1181715,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,0.3,42577
2022,11/3/2021,2373061,74.82,AMAZON COM,12/6/2021,1181715,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,74.52,42578
2022,11/10/2021,2375844,28,BEST STAMP & SEAL CO INC,12/6/2021,1181803,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,28,42579
2022,11/18/2021,2383093,138.9,BEST STAMP & SEAL CO INC,12/2/2021,1181549,Louisville Metro Police Department,Metro Government Operations,Supplies,Clothing/Uniform supplies,,,,,General Fund,,,138.9,42727
2022,11/5/2021,2375002,500,PSYTAC PLLC,12/2/2021,1181518,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,500,42729
2022,11/23/2021,2383672,25,ROCKY MOUNTAIN LOGISTICS INC,12/2/2021,1181520,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,25,42734
2022,11/22/2021,2383100,90,ROCKY MOUNTAIN LOGISTICS INC,12/2/2021,1181520,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Equipment Rental,,,,,General Fund,,,90,42739
2022,10/31/2021,2372939,1337.25,VOIANCE LANGUAGE SERVICES LLC,12/2/2021,1181541,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Language Services,,,,,General Fund,,,1337.25,42744
2022,11/12/2021,2375839,4025.34,JDS SECURITY LLC,12/1/2021,1180766,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Payments to Contractors,,,,,General Fund,,,0.34,42921
2022,11/12/2021,2375839,4025.34,JDS SECURITY LLC,12/1/2021,1180766,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Payments to Contractors,,,,,General Fund,,,4025,42922
2022,11/9/2021,2375588,525,LIFE IN MOTION LLC,12/1/2021,1180775,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,525,42923
2022,9/15/2021,2383668,5793.45,DJ LEASING LLC,12/1/2021,1180742,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Automotive Repair Services                           ,,,,,General Fund,,,5793.45,42924
2022,11/3/2021,2375007,2381.98,GALLS PARENT HOLDINGS LLC,12/2/2021,1181552,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,2000,42972
2022,11/3/2021,2375007,2381.98,GALLS PARENT HOLDINGS LLC,12/2/2021,1181552,Louisville Metro Police Department,Metro Government Operations,Supplies,Police Supplies,,,,,General Fund,,,381.98,42973
2022,9/13/2021,2374997,91.7,SAPPHIRE HOSPITALITY LLC,12/2/2021,1181522,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Grant Other Assistance                            ,,,,,Federally Funded,,,91.7,42974
2022,11/4/2021,2374999,825.36,OFFICE DEPOT INC,12/2/2021,1181517,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,282.12,42975
2022,11/4/2021,2374999,825.36,OFFICE DEPOT INC,12/2/2021,1181517,Louisville Metro Police Department,Metro Government Operations,Supplies,Office Supplies,,,,,General Fund,,,543.24,42976
2022,1/31/2021,2375585,1016.31,NET TRANSCRIPTS INC,12/2/2021,1181516,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,1016.31,42977
2022,7/23/2021,2375587,1095.29,NET TRANSCRIPTS INC,12/2/2021,1181516,Louisville Metro Police Department,Metro Government Operations,Contractual Services,Professional Services,,,,,General Fund,,,1095.29,42978
